"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"A job? I couldn't wait for work I had work to weigh",FALSE,0,NA,2017-05-01 19:38:56,FALSE,NA,"859130035395080193",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ted_Kush",0,FALSE,FALSE,NA,NA
"KUSH SO LOUD IT HAS YOU DECODING THE SECOND BEALE CIPHERTEXT",FALSE,0,"knifeeffect",2017-05-01 19:38:51,FALSE,"859129810811006976","859130010589949953","1967879833","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","knifeeffect",0,FALSE,FALSE,NA,NA
"Mama told me, ""son there'll be days like this""
don't wanna think so - I hit the drink and stay blitzed
-pour out a little liquor",FALSE,0,NA,2017-05-01 19:37:44,FALSE,NA,"859129733518422017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_sweetie_kush_",0,FALSE,FALSE,NA,NA
"I smoked 1 kush and it got me",FALSE,0,NA,2017-05-01 19:37:27,FALSE,NA,"859129660847919108",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","funkmasterMel",0,FALSE,FALSE,NA,NA
"redheads have mur heart<ed><U+00A0><U+00BC><ed><U+00BD><U+0092>",FALSE,1,NA,2017-05-01 19:36:15,FALSE,NA,"859129356559495170",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kush_bluntssss",1,FALSE,FALSE,NA,NA
"@VICELAND could have been more witty like ""kush had me dead""",FALSE,0,"VICELAND",2017-05-01 19:35:32,FALSE,"859122475296272385","859129176183500800","3806553495","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hxmie",0,FALSE,FALSE,NA,NA
"@Ted_Kush It does , I was born this month <ed><U+00A0><U+00BD><ed><U+00B9><U+0082>",FALSE,0,"Ted_Kush",2017-05-01 19:34:10,FALSE,"859128628067667973","859128832023986177","2543369535","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","X10_theAmazon",0,FALSE,FALSE,NA,NA
"We just got some new *Hush Extracts - Purple Hindue Kush Shatter 1 Gram 1A4010300008B11000007311*",FALSE,0,NA,2017-05-01 19:33:33,FALSE,NA,"859128680584364032",NA,"<a href=""http://mmjmenu.com"" rel=""nofollow"">mmjmenu</a>","nwcompassionmed",0,FALSE,FALSE,NA,NA
"@X10_theAmazon The month of May loves you",FALSE,0,"X10_theAmazon",2017-05-01 19:33:21,FALSE,"859126258059419652","859128628067667973","294939313","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ted_Kush",0,FALSE,FALSE,NA,NA
"@kush_n_codeine <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> I'm dead serious lol.",FALSE,0,"kush_n_codeine",2017-05-01 19:33:14,FALSE,"858772553271308288","859128598095175680","2534541603","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ILoveLona",0,FALSE,FALSE,NA,NA
"@chikki_kush GNikes White just like that ____",FALSE,0,"chikki_kush",2017-05-01 19:31:10,FALSE,"859126341987381250","859128080572526601","1087672620","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_TheCrownedHead",2,FALSE,FALSE,NA,NA
"DIY Moonrocks anyone?? Our OG Kush Bubble Hash will send you to the moon! https://t.co/KY6gYnGJ2I",FALSE,0,NA,2017-05-01 19:31:00,FALSE,NA,"859128038545473537",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","topshelfcanada",0,FALSE,FALSE,NA,NA
"chain smoken kush",FALSE,0,NA,2017-05-01 19:30:11,FALSE,NA,"859127830638186498",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WilsonVulpini",0,FALSE,FALSE,NA,NA
"Out Now on *NAIJALOADED*<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> Go.
 listen!

https://t.co/57snSHLO4d",FALSE,0,NA,2017-05-01 19:29:51,FALSE,NA,"859127746903109632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dothypeent",0,FALSE,FALSE,NA,NA
"Had Bubba Kush today and bOY WAS I SMOKED",FALSE,0,NA,2017-05-01 19:28:33,FALSE,NA,"859127422096158721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lxxvfy516",0,FALSE,FALSE,NA,NA
"My room smell like cherries &amp; kush",FALSE,1,NA,2017-05-01 19:28:15,FALSE,NA,"859127343746392064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PaidNiggas",0,FALSE,FALSE,NA,NA
"She like we gone see each other today ? I'm like yea fasho dat <ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><U+200D><U+2642><U+FE0F><ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><U+200D><U+2642><U+FE0F>",FALSE,0,NA,2017-05-01 19:27:34,FALSE,NA,"859127174003085312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kush_TheKid",0,FALSE,FALSE,NA,NA
"@SirRoscoe_ I'm ready for this slaying",FALSE,0,"SirRoscoe_",2017-05-01 19:27:23,FALSE,"859124490780811264","859127128268316672","117621418","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kush_Boy420",0,FALSE,FALSE,NA,NA
"The latest The $ir E Moe Daily! https://t.co/u3m9wCRvI7 Thanks to @ChrisWick_ @POWER981FM @BreedersLove #cannabis #kush",FALSE,0,NA,2017-05-01 19:27:02,FALSE,NA,"859127039928016898",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","emoe3000",0,FALSE,FALSE,NA,NA
"@bbceastenders I certainly would be keeping kush keen and mean if he was under my roof. He looked heavenly in that vest <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B1><U+00BF>",FALSE,0,"bbceastenders",2017-05-01 19:27:00,FALSE,NA,"859127032025886721","85626267","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Christo78362971",0,FALSE,FALSE,NA,NA
"@chikki_kush Right like wtf <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"chikki_kush",2017-05-01 19:26:51,FALSE,"859126539262230528","859126991441756160","1087672620","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andimshania",0,FALSE,FALSE,NA,NA
"Ever met a guy named Kush? My god is he annoying",FALSE,0,NA,2017-05-01 19:26:28,FALSE,NA,"859126897191636998",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MJGenioo_",0,FALSE,FALSE,NA,NA
"#NowPlaying on Xclusive One Drop Media: KUSH INNA MI BRAIN - AIDONIA #DroppingDemHeavy https://t.co/isFvkugjSM",FALSE,0,NA,2017-05-01 19:26:24,FALSE,NA,"859126880947064834",NA,"<a href=""HTTP://www.xclusiveonedrop.com"" rel=""nofollow"">Xclusive One Drop #NowPlaying</a>","XclodRadio",0,FALSE,FALSE,NA,NA
"@_RB_21 Aight I'm js . I'm cool Yu know that <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF>",FALSE,0,"_RB_21",2017-05-01 19:26:21,FALSE,"859126675887595524","859126868498415616","731754446","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kush_TheKid",0,FALSE,FALSE,NA,NA
"Camo shorts and Bubba kush<ed><U+00A0><U+00BD><ed><U+00B2><U+00A8>",FALSE,1,NA,2017-05-01 19:26:00,FALSE,NA,"859126778190811137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ez_freezy",0,FALSE,FALSE,NA,NA
