"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@ianconradsrvnge maan its all about the doobie blunts kush",FALSE,0,"ianconradsrvnge",2017-04-21 04:19:27,FALSE,"855181032059838464","855274759335981056","425303859","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MLagman91",0,FALSE,FALSE,NA,NA
"Happy 4/21 im off kush xans percs mesothelioma hml",FALSE,0,NA,2017-04-21 04:19:18,FALSE,NA,"855274720597389312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TY13RK346Y",1,FALSE,FALSE,NA,NA
"Emerging from a kush coma",FALSE,3,NA,2017-04-21 04:16:20,FALSE,NA,"855273974279819264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_valenciaorange",0,FALSE,FALSE,NA,NA
"Two words, BIG KUSH.",FALSE,0,NA,2017-04-21 04:15:49,FALSE,NA,"855273843203555328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","indusho123",0,FALSE,FALSE,NA,NA
"Guys remember the true meaning of 420s day that god is horrifyingly real and he gifted that good good kush to moses",FALSE,0,NA,2017-04-21 04:14:52,FALSE,NA,"855273604602187777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nealr1991",0,FALSE,FALSE,NA,NA
"@1tykeva Happy Birthday Young! Smoke 1 For Me <U+26FD><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BE><U+0088>",FALSE,0,"1tykeva",2017-04-21 04:14:28,FALSE,NA,"855273505763409920","216539817","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kush_Tev",1,FALSE,FALSE,NA,NA
"Tiki just made the situation way worse",FALSE,0,NA,2017-04-21 04:12:14,FALSE,NA,"855272943022088192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chikki_kush",0,FALSE,FALSE,NA,NA
"I just re-up'd on some fire kush hmu <ed><U+00A0><U+00BD><ed><U+00B8><U+00B9>",FALSE,0,NA,2017-04-21 04:12:05,FALSE,NA,"855272905206243328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FBGADRIAN",0,FALSE,FALSE,NA,NA
"@PrettyPrettyBri Lmaoo Thas fair",FALSE,0,"PrettyPrettyBri",2017-04-21 04:11:32,FALSE,"855270568966238209","855272764952924162","120925569","<a href=""http://tweetlogix.com"" rel=""nofollow"">Tweetlogix</a>","_KUSH_",0,FALSE,FALSE,NA,NA
"To all my bruthas out there in kush comas or about to be in one, just a friendly reminder don't forget to put y'all wave caps on <U+270A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BE><ed><U+00B4><U+0099><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>",FALSE,0,NA,2017-04-21 04:11:25,FALSE,NA,"855272736435748865",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Shawnskiie",1,FALSE,FALSE,NA,NA
"no more weed
no more kush",FALSE,0,NA,2017-04-21 04:10:36,FALSE,NA,"855272532026327041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prettoflacko_",0,FALSE,FALSE,NA,NA
"Cheese it, boys! Neuro-Kush Shadow had deposited his own eye or even the miser spread his evening meal.
""I think they would,",FALSE,0,NA,2017-04-21 04:10:01,FALSE,NA,"855272385632653313",NA,"<a href=""https://twitter.com/JargonRobot"" rel=""nofollow"">Jargon Bot</a>","JargonRobot",0,FALSE,FALSE,NA,NA
"@TheRealJermain Happy birthday bro!<ed><U+00A0><U+00BC><ed><U+00BE><U+008A><ed><U+00A0><U+00BC><ed><U+00BE><U+0089>",FALSE,0,"TheRealJermain",2017-04-21 04:09:55,FALSE,NA,"855272359065821186","594405860","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kush_Patel_16",0,FALSE,FALSE,NA,NA
