"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Kush so damn strong I can't pass this shit <ed><U+00A0><U+00BD><ed><U+00B8><U+00AB>",FALSE,0,NA,2017-04-28 22:43:01,FALSE,NA,"858089195486818309",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","callmeveracity",0,FALSE,FALSE,NA,NA
"Yo @officialchilli has the most beautiful skin tone ever. Sorry for smoking Kush in yo face lol #RIPLeftEye I ain't to proud to beg or smoke",FALSE,0,NA,2017-04-28 22:39:23,FALSE,NA,"858088281254182912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JimmyRothzchild",0,FALSE,FALSE,NA,NA
"a pack of swishers and says hold up, pulls out a sack of kush and drops some nugs in my hand",FALSE,1,"slatersvn",2017-04-28 22:38:55,FALSE,"858087973497085952","858088162245070848","345524713","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slatersvn",0,FALSE,FALSE,NA,NA
"@DOUBLE_A_XXi Lmao she's a character",FALSE,0,"DOUBLE_A_XXi",2017-04-28 22:38:50,FALSE,"858088083501219841","858088143723036674","38092926","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kush_Ken",0,FALSE,FALSE,NA,NA
"@Kush_Ken Lol...she real AF for that facial expression",FALSE,0,"Kush_Ken",2017-04-28 22:38:36,FALSE,"858087957978284032","858088083501219841","25533930","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DOUBLE_A_XXi",0,FALSE,FALSE,NA,NA
"""Uh huh ok wassup SHUT UPPP""",FALSE,0,NA,2017-04-28 22:38:19,FALSE,NA,"858088012646936576",NA,"<a href=""http://tweetlogix.com"" rel=""nofollow"">Tweetlogix</a>","_KUSH_",0,FALSE,FALSE,NA,NA
"@DOUBLE_A_XXi Every time I see that meme I laugh Kuz I really know this lil girl",FALSE,0,"DOUBLE_A_XXi",2017-04-28 22:38:06,FALSE,"858087842953801730","858087957978284032","38092926","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kush_Ken",0,FALSE,FALSE,NA,NA
"seen bitches change up on me for a little paper",FALSE,0,NA,2017-04-28 22:37:54,FALSE,NA,"858087910104543236",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kush_Connection",0,FALSE,FALSE,NA,NA
"First of all.... Gorillaz has Kilo kush, Anthony Hamilton, as D.R.A.M. all on the same album.....",FALSE,0,NA,2017-04-28 22:36:41,FALSE,NA,"858087601424805889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_oddbawl",0,FALSE,FALSE,NA,NA
"Smelling like kush when I walk through the building",FALSE,0,NA,2017-04-28 22:36:37,FALSE,NA,"858087586996334592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sean_squaad",0,FALSE,FALSE,NA,NA
