"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"It's funny how researchers now publish  the importance of Cannabis. 

Rubbish!",FALSE,0,NA,2017-05-12 07:03:09,FALSE,NA,"862926099273142272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MsNemah",0,FALSE,FALSE,NA,NA
"So the dispensary has cannabis suppositories now.",FALSE,4,NA,2017-05-12 07:02:09,FALSE,NA,"862925848713756674",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","umbyrella",0,FALSE,FALSE,NA,NA
"New post: Landlord discovers cannabis farm at rented flat in Dundee https://t.co/utfSMw7npa",FALSE,0,NA,2017-05-12 07:00:23,FALSE,NA,"862925403354267648",NA,"<a href=""http://smartpropertyvideos.co.uk"" rel=""nofollow"">Smart Property Videos</a>","S_P_Video",0,FALSE,FALSE,NA,NA
"Cannabis Grow Bible ( 449 Pages | Free eBook ) https://t.co/LPnWjjCsZB",FALSE,0,NA,2017-05-12 07:00:01,FALSE,NA,"862925312031682560",NA,"<a href=""http://www.pdfdrive.net/"" rel=""nofollow"">PDF Drive</a>","pdfdrive",0,FALSE,FALSE,NA,NA
"Qld Bauxite looking at more Cannabis investments https://t.co/qMA0M1xhOV",FALSE,0,NA,2017-05-12 06:57:42,FALSE,NA,"862924730273120257",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","MiningWeeklyCA",0,FALSE,FALSE,NA,NA
"Four-year-old brain cancer patient sees tumour shrink https://t.co/9GmIKgwUGm",FALSE,0,NA,2017-05-12 06:56:13,FALSE,NA,"862924354904096768",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","MissHempy",0,FALSE,FALSE,NA,NA
"Qld Bauxite looking at more Cannabis investments https://t.co/APgIvjPM8r",FALSE,0,NA,2017-05-12 06:56:05,FALSE,NA,"862924322179960833",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","MiningWeeklyAUS",0,FALSE,FALSE,NA,NA
"Green Party of Aotearoa New Zealand Spokesperson for Health Julie Anne Genter MP interviews medical cannabis... https://t.co/AwxqdKoXRf",FALSE,0,NA,2017-05-12 06:54:20,FALSE,NA,"862923881010614272",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","KiwiCannasseur",0,FALSE,FALSE,NA,NA
"@newscientist...must add that the idea that cannabis help fite cancer by selectively causing cell death. Is why 33yr stoners get asked 4 ID.",FALSE,0,"newscientist",2017-05-12 06:53:27,FALSE,"861722447044898816","862923660050391040","19658826","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","florescentleech",0,FALSE,FALSE,NA,NA
"All drug use should be legal. We have an interest in cannabis because we're users but we don't judge other drug users, they're no different",FALSE,1,NA,2017-05-12 06:50:39,FALSE,NA,"862922954946093057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","c_cannabiscafe",0,FALSE,FALSE,NA,NA
