"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"The beta brain: Researchers dive into the ways using marijuana at early age can have lasting effects: https://t.co/24v2cWZSi0 pic.twitter.…",FALSE,0,NA,2017-05-07 16:46:11,FALSE,NA,"861260886702514178",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ElixinolCbdOil",0,FALSE,FALSE,NA,NA,"usa","en","http://pbs.twimg.com/profile_images/830005611421110272/YGk44fBj_normal.jpg"
"$UBQU gaining social media momentum. Keep on watch! I know I am &gt; https://t.co/YOmv0cRafK @alidaher2010 $PNPL  $VAPE  $CGRW  #trading",FALSE,1,NA,2017-05-07 16:44:57,FALSE,NA,"861260574742781953",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","youngstockman",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/432733607124152320/VbVipoTP_normal.jpeg"
"A great resource for medical marijuana could be the @AANMember  #ONSCongress @OncologyNursing",FALSE,6,NA,2017-05-07 16:44:46,FALSE,NA,"861260530073423874",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FNPoncology",2,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/727166969640849409/prKXPy8h_normal.jpg"
"@discoverteddy can't believe you would blatantly promote underage marijuana use like this",FALSE,0,"discoverteddy",2017-05-07 16:44:31,FALSE,"847536065044992000","861260468589129729","822545542161068033","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","teenpartyyyy",0,FALSE,FALSE,NA,NA,"Bedford-Stuyvesant","en","http://pbs.twimg.com/profile_images/857356278976217088/WH2ig-Ez_normal.jpg"
"@LeneeaG @6z6e6 @playboicarti Marijuana? In Napa?? Noooo We are Children of God <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>",FALSE,1,"LeneeaG",2017-05-07 16:43:37,FALSE,"861259778235875328","861260242239209472","753755574","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EzeOrtiz69",0,FALSE,FALSE,NA,NA,"Village Hidden In The Leaf","en","http://pbs.twimg.com/profile_images/856982932111605760/CKcUXJc4_normal.jpg"
"DJ Scream &amp; DJ Spinatik Present Jigg – Marijuana Inc. 3 https://t.co/PJariQ2Swj",FALSE,0,NA,2017-05-07 16:42:50,FALSE,NA,"861260041713733632",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","LiniWayy",0,FALSE,FALSE,NA,NA,"Atlanta, GA","en","http://pbs.twimg.com/profile_images/828834089960689664/7AnXIp6q_normal.jpg"
"Estradiol reduces TESTOSTERONE in Blkmen. It's found in Marijuana and the alcohol overstimulates aromatization(estroProduction). #NoiSundays",FALSE,0,NA,2017-05-07 16:42:30,FALSE,NA,"861259959656251392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Muhammadaeus",1,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/823231161539457024/Dkvfj1vT_normal.jpg"
"We can now see why marijuana has been so ferociously, ridiculously illegal for a hundred years.  (cont) https://t.co/C5FHw3iJWu",FALSE,0,NA,2017-05-07 16:42:12,FALSE,NA,"861259885291294720",NA,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>","DeantoTherescue",0,FALSE,FALSE,NA,NA,"Wells, Nevada","en","http://pbs.twimg.com/profile_images/378800000601403137/617d179a3824e5da0b70c08670de57c9_normal.jpeg"
"@DirkZ1 Next he'll make homeopathic medicine illegal. His fight on marijuana would take away the only no- opioid I can afford.",FALSE,3,"DirkZ1",2017-05-07 16:42:09,FALSE,"861226469791596545","861259872674791424","259858913","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katknapzzzzz",0,FALSE,FALSE,NA,NA,"San Luis Obispo County","en","http://pbs.twimg.com/profile_images/846395001231806466/QcniyLBy_normal.jpg"
"@kylie_oneil75 @PJMedia_com If it helps kids with seizure disorders, I see nothing wrong with marijuana. Of course… https://t.co/JUhDVijrJm",FALSE,0,"kylie_oneil75",2017-05-07 16:42:00,TRUE,"861257869219463168","861259832648716288","3772895061","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PattyWheeler12",0,FALSE,FALSE,NA,NA,"Atlanta, GA","en","http://pbs.twimg.com/profile_images/774762210161811456/XeVfcMnI_normal.jpg"
