"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"@iansample Paul Nuttal is wrong. GW Pharma is the only company in the world to do clinical trials with cannabis and they are a <ed><U+00A0><U+00BC><ed><U+00B7><U+00AC><ed><U+00A0><U+00BC><ed><U+00B7><U+00A7> business",FALSE,0,"iansample",2017-05-09 05:42:50,FALSE,NA,"861818723442864128","79997785","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","remainintheEU45",0,FALSE,FALSE,NA,NA,"Peterborough","en","http://pbs.twimg.com/profile_images/852987294600617985/miumT3Ei_normal.jpg"
"@CBSNews to hell CANNABIS

to hell CANNABIS

to hell CANNABIS

absolutely forbidden CANNABIS in SWEDEN

DIGITAL-teo… https://t.co/ebOuJWPfYs",FALSE,0,"CBSNews",2017-05-09 05:42:48,TRUE,"861816266687905792","861818716195086336","15012486","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TTeo35",0,FALSE,FALSE,NA,NA,"","sv","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"@KTNKenya ....well, that's a bit of an overstep right there; Cannabis Sativa is zero rated!!",FALSE,0,"KTNKenya",2017-05-09 05:42:38,FALSE,"861818015393992704","861818673199296512","115141256","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","oliverwabwire",0,FALSE,FALSE,NA,NA,"Nairobi","en","http://pbs.twimg.com/profile_images/1886403293/Olive_14_normal.JPG"
"@iansample Paul Nuttal is out of date. UK is growing a huge amount of medicinal cannabis. In this the UK is a world leader",FALSE,0,"iansample",2017-05-09 05:41:50,FALSE,NA,"861818471683850240","79997785","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","remainintheEU45",0,FALSE,FALSE,NA,NA,"Peterborough","en","http://pbs.twimg.com/profile_images/852987294600617985/miumT3Ei_normal.jpg"
"Pein! Zetsu is growing shrooms and cannabis in his room!
#SharkBot",FALSE,0,NA,2017-05-09 05:41:21,FALSE,NA,"861818352443863041",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","HeresSharky",0,FALSE,FALSE,NA,NA,"<U+2AF7>Next to his Father's tank<U+2AF8>","en","http://pbs.twimg.com/profile_images/710932265044451329/VlSyLgio_normal.jpg"
"@iansample check out GW Pharmaceuticals. UK is leading the world in medicinal cannabis. Google 'British Sugar Cannabis' as well",FALSE,0,"iansample",2017-05-09 05:40:53,FALSE,NA,"861818232671531008","79997785","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","remainintheEU45",0,FALSE,FALSE,NA,NA,"Peterborough","en","http://pbs.twimg.com/profile_images/852987294600617985/miumT3Ei_normal.jpg"
"@realDonaldTrump Sir, if you truly want to slow down street violence,  domestic violence,  alcohol &amp; tobacco. Legalize cannabis.",FALSE,1,"realDonaldTrump",2017-05-09 05:40:01,FALSE,NA,"861818015733751809","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","559Tyrone",0,FALSE,FALSE,NA,NA,"California, USA","en","http://pbs.twimg.com/profile_images/786280232558833664/Awoa74id_normal.jpg"
"I enjoy talking about things that bring me joy. I don't see why I should apologize about the fact that cannabis brings me joy? <ed><U+00A0><U+00BD><ed><U+00B2><U+009A> #MyMeds",FALSE,0,NA,2017-05-09 05:38:08,FALSE,NA,"861817541773185024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BoobsNBuds",0,FALSE,FALSE,NA,NA,"Dabbing My Face Off<U+2601><U+FE0F>Mile High","en","http://pbs.twimg.com/profile_images/707420840728485888/dBdOrBjY_normal.jpg"
"Daily Dose Of Cannabis May Protect And Heal The Brain From Effects Of Aging https://t.co/8POn4jN2om",FALSE,0,NA,2017-05-09 05:36:30,FALSE,NA,"861817133034086402",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","soundless_sound",0,FALSE,FALSE,NA,NA,"India","en","http://pbs.twimg.com/profile_images/628540940739702784/NCvj70Vy_normal.jpg"
"Full-Time Cannabis Extraction Assistant - Arizona Natural Selections - Phoenix, AZ https://t.co/JBUN3BQn1P",FALSE,0,NA,2017-05-09 05:36:17,FALSE,NA,"861817075358195712",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","supra1Bqteam",0,FALSE,FALSE,NA,NA,"Orem, UT","es","http://pbs.twimg.com/profile_images/752065571068444672/dkKCTbsg_normal.jpg"
