"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@attn @billmaher I don't understand why we should what people do. Alcohol and drugs has much more worse affect than… https://t.co/aShWgLMLJd",FALSE,0,"attn",2017-04-22 05:33:09,TRUE,"855094882544766976","855655693331910661","214112621","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","formationYOLO",0,FALSE,FALSE,NA,NA
"Lawmakers mull delaying marijuana 'social clubs' in Maine https://t.co/MYqeCAQT19",FALSE,0,NA,2017-04-22 05:32:13,FALSE,NA,"855655457888796672",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","weedtronic",0,FALSE,FALSE,NA,NA
"SOUND OFF: Did our '420' article celebrate marijuana use? https://t.co/fO2IsQOY0v",FALSE,0,NA,2017-04-22 05:32:09,FALSE,NA,"855655441954680832",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MedischeWiet",0,FALSE,FALSE,NA,NA
"George H.W. Bush . quote: ""I experimented with marijuana a time or two, and I didn’t like it. I didn’t inhale and… https://t.co/FOCJUKJV5m",FALSE,0,NA,2017-04-22 05:32:02,FALSE,NA,"855655414003662848",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Next420info",0,FALSE,FALSE,NA,NA
"Sneaky Conservative plan:
Legalize pot
Liberals smoke it
Too stoned to go vote
https://t.co/AA1qBVdPyl",FALSE,0,NA,2017-04-22 05:30:04,FALSE,NA,"855654919424008192",NA,"<a href=""http://postintelligence.ai"" rel=""nofollow"">PostIntel</a>","bogdwell",0,FALSE,FALSE,NA,NA
"@highhipsters420 Where's the best place to get a medical marijuana card in/based around LA?",FALSE,1,"highhipsters420",2017-04-22 05:29:43,FALSE,"855578730118340608","855654829649043456","703335397011554304","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Psych_Icarus",0,FALSE,FALSE,NA,NA
"Marijuana and National Parks https://t.co/PPwj5lffa2",FALSE,0,NA,2017-04-22 05:29:21,FALSE,NA,"855654737470992387",NA,"<a href=""http://daggamagazine.com"" rel=""nofollow"">Dagga Magazine</a>","DaggaMagazine",0,FALSE,FALSE,NA,NA
"@castlebiz Where one is allowed to carry medical marijuana with a verified legal holding ID :) #LivePD",FALSE,1,"castlebiz",2017-04-22 05:29:05,FALSE,NA,"855654671414730753","101072110","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ggizzle86",0,FALSE,FALSE,NA,NA
"Marijuana brings people together <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>",FALSE,1,NA,2017-04-22 05:28:52,FALSE,NA,"855654615278387201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","615BillBrown",0,FALSE,FALSE,NA,NA
"""i wouldn’t leave you in charge of selling girl scout cookies outside a medical marijuana dispensary""
@Race_Daniels aka Fandom Batwoman",FALSE,1,NA,2017-04-22 05:28:27,FALSE,NA,"855654513453256705",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Noctilucales",0,FALSE,FALSE,NA,NA
"Lawmakers mull delaying marijuana 'social clubs' in Maine - Press Herald https://t.co/ItrJk48tYl",FALSE,0,NA,2017-04-22 05:28:04,FALSE,NA,"855654415063146496",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","HealthMedicines",0,FALSE,FALSE,NA,NA
"More money was spent on the war on marijuana then to fight Osama bin laden<ed><U+00A0><U+00BE><ed><U+00B4><U+0094> what's wrong with America?? 140 tax dollars each year from yall",FALSE,1,NA,2017-04-22 05:27:50,FALSE,NA,"855654356309258240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","m164a1",0,FALSE,FALSE,NA,NA
"Y'all it's true.. Colorado really does smell like marijuana everywhere.",FALSE,1,NA,2017-04-22 05:27:02,FALSE,NA,"855654156345802752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hannacotton",0,FALSE,FALSE,NA,NA
"Marijuana isn't for everyone",FALSE,0,NA,2017-04-22 05:25:17,FALSE,NA,"855653714824003584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ReformedMo",0,FALSE,FALSE,NA,NA
"@ShockleeChristy Here's some Medical Marijuana Info That May Help https://t.co/kVDsN2Wtfc",FALSE,0,"ShockleeChristy",2017-04-22 05:25:00,FALSE,"855494649275961344","855653645404319744","539577360","<a href=""http://browsebuysavings.com"" rel=""nofollow"">philo4</a>","PhiloStoney",0,FALSE,FALSE,NA,NA
"#marijuana Op-Ed: The US is falling behind other countries—like Canada—on marijuana - CNBC https://t.co/Olp6TeeSvi https://t.co/CUmyQI92Wu",FALSE,0,NA,2017-04-22 05:24:34,FALSE,NA,"855653532854345728",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","PacificBeachMJ",0,FALSE,FALSE,NA,NA
"@WATEKellyReinke @TBInvestigation @6News If they wld legalize the Marijuana  alot of people like me wouldn't have t… https://t.co/8rrMNkodEN",FALSE,1,"WATEKellyReinke",2017-04-22 05:23:25,TRUE,"855523358200541185","855653245477376000","347514818","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WRocchietti",0,FALSE,FALSE,NA,NA
