"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Canada and eight US states have done it. Why can’t NSW legalise cannabis? https://t.co/uclSEDzDpe",FALSE,0,NA,2017-04-25 20:36:13,FALSE,NA,"856970121205628929",NA,"<a href=""http://www.ehln.org"" rel=""nofollow"">Ethics Health Law News</a>","EthicsHealthLaw",0,FALSE,FALSE,NA,NA
"CONTINUING EDUCATION: School’s Not Out for the Cannabis Community https://t.co/g2yncbGrTJ #Cannabis #Education",FALSE,0,NA,2017-04-25 20:35:30,FALSE,NA,"856969939848224768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","budcanna",0,FALSE,FALSE,NA,NA
"How Michael tells time. 
It's 20 mins past 4:20
It's 2 hours past 4:20 
It's 10 mins till 4:20
<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
Okay we get it you smoke cannabis.",FALSE,0,NA,2017-04-25 20:34:35,FALSE,NA,"856969709656395776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Samkay17",0,FALSE,FALSE,NA,NA
"@AndysFish @Jasonbuckner104 @TipadvisorUK Cannabis? At the tip? <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>",FALSE,1,"AndysFish",2017-04-25 20:33:23,FALSE,"856967926951424001","856969407406518272","285036492","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","k7vin11",0,FALSE,FALSE,NA,NA
"Since my Bestfriend in Miami anybody want to come with me to cannabis party.",FALSE,0,NA,2017-04-25 20:32:55,FALSE,NA,"856969291358515201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AmoniChanel",0,FALSE,FALSE,NA,NA
"The latest The Buck Angel Daily! https://t.co/1JQEas5mGG Thanks to @DanaBeyerMD @SwopLosAngeles @URGE_org #confidence #cannabis",FALSE,0,NA,2017-04-25 20:32:15,FALSE,NA,"856969124785922048",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","BuckAngel",0,FALSE,FALSE,NA,NA
"Advanced New Non-Toxic NixT™ 420 Odor Eliminator Gets Rid of Cannabis Skunk Smell on Contact https://t.co/UU7q6RQQxq",FALSE,0,NA,2017-04-25 20:32:15,FALSE,NA,"856969123905064961",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","420LeaveNoTrace",0,FALSE,FALSE,NA,NA
"Senior Sales Representative for Cannabis Creative Agency https://t.co/9eR2OTlcPz",FALSE,0,NA,2017-04-25 20:32:01,FALSE,NA,"856969063620370433",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","thcuniversity",0,FALSE,FALSE,NA,NA
"CannabisBizNews: Venture capital investors betting big on cannabis - The Cannifornian https://t.co/IOpio1yntJ #cannabis",FALSE,0,NA,2017-04-25 20:30:18,FALSE,NA,"856968634983436289",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","vegasgogreen",0,FALSE,FALSE,NA,NA
"while the #LPC cosplays as june flanders over #cannabis, no problem 'normalizing' alcohol consumption https://t.co/V09z8agMsD #cdnpoli",FALSE,0,NA,2017-04-25 20:29:37,FALSE,NA,"856968463088091136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JungleStrikeGuy",0,FALSE,FALSE,NA,NA
"More Than 100 Peer-Reviewed Studies Conclude: Cannabis Cures Cancer https://t.co/o3UjocndhS",FALSE,0,NA,2017-04-25 20:29:02,FALSE,NA,"856968315364880384",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","juandelemos",0,FALSE,FALSE,NA,NA
"@TigerGoddessxXx @tedcruz Legalization of cannabis Nationwide would  decrease usage of opioids because cannibas hel… https://t.co/Ik8cowx0F4",FALSE,0,"TigerGoddessxXx",2017-04-25 20:28:58,TRUE,"856966463281930240","856968297027383300","183403491","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ME5ASH",0,FALSE,FALSE,NA,NA
"Venture capital investors betting big on cannabis - The Cannifornian https://t.co/wyMGHQN2qC #cannabis",FALSE,1,NA,2017-04-25 20:28:32,FALSE,NA,"856968187954556928",NA,"<a href=""http://www.tweetGoogleAlerts.com"" rel=""nofollow"">TweetGoogleAlerts</a>","CannabisBizNews",0,FALSE,FALSE,NA,NA
"NixT™ 420 enters the Cannabis Market with Advanced Odor Eliminator https://t.co/kreEmh33PT",FALSE,0,NA,2017-04-25 20:28:08,FALSE,NA,"856968089258295297",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","420LeaveNoTrace",0,FALSE,FALSE,NA,NA
"Advanced New Non-Toxic NixT™ 420 Odor Eliminator Gets Rid of Cannabis Skunk Smell on Contact https://t.co/pBTM0tlnEt",FALSE,0,NA,2017-04-25 20:27:58,FALSE,NA,"856968045381791744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","420LeaveNoTrace",0,FALSE,FALSE,NA,NA
"I hate that people can smoke cigarettes and I have to breathe that in but lord forbid someone breathes in me burning a plant",FALSE,1,NA,2017-04-25 20:27:41,FALSE,NA,"856967974640644096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HA_Cannabis",1,FALSE,FALSE,NA,NA
"Went to the cannabis club for the first time today lol",FALSE,3,NA,2017-04-25 20:27:04,FALSE,NA,"856967819262480384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CarlosElizondo5",0,FALSE,FALSE,NA,NA
"The #CBD Submarket Plays Major Role In #LegalCannabis Industry https://t.co/iF57iwOcrx #mjnews #mjstocks",FALSE,1,NA,2017-04-25 20:26:32,FALSE,NA,"856967683480342528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MaryJaneBiz",0,FALSE,FALSE,NA,NA
"I mean the guy has come into class with cannabis-flavored candy before but this us something else entirely",FALSE,0,NA,2017-04-25 20:24:36,FALSE,NA,"856967200183173120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","probablysatann",0,FALSE,FALSE,NA,NA
"The Dr: How much cannabis do you consume a day? 
Me: I'm not sure how much I consume in an hour",FALSE,11,NA,2017-04-25 20:24:34,FALSE,NA,"856967190150615041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Potlantis",3,FALSE,FALSE,NA,NA
