"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"Sara Tancredi sleeping with the enemy #Shook #PrisonBreak S05E05 #Nw",FALSE,0,NA,2017-05-06 05:32:10,FALSE,NA,"860728879014608896",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","I_am_kush",0,FALSE,FALSE,NA,NA,"JamDown","en","http://pbs.twimg.com/profile_images/836155466904383492/jwdGRqcl_normal.jpg"
"Woke up from a series of nightmares involving a roadtrip w/ strangers,  a murder, a failed escape attempt, arson &amp; good kush with the I.O.",FALSE,0,NA,2017-05-06 05:30:49,FALSE,NA,"860728539171225600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WesMaswai",0,FALSE,FALSE,NA,NA,"Nairobi|Eldoret - Kenya ","en","http://pbs.twimg.com/profile_images/858935553559080960/rtVLIK_E_normal.jpg"
"@TataSky 
Hi can you tell me how to set @republic as a fav channel. 

@AnkitLal @ndtv @TimesNow @BDUTT @sardesairajdeep @RifatJawaid",FALSE,0,"TataSky",2017-05-06 05:30:03,FALSE,NA,"860728343351701504","160890393","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imash_kush",0,FALSE,FALSE,NA,NA,"New Delhi, India","en","http://pbs.twimg.com/profile_images/699123528713416705/FP_VrunK_normal.jpg"
"@olalee1 happy birthday bro. God bless you and yours. This new age will open new doors for you. Shine on brother. Have a great one <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>",FALSE,0,"olalee1",2017-05-06 05:29:47,FALSE,NA,"860728279246000132","200031007","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","La__Kush",0,FALSE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/860015753264865280/Sa1odfro_normal.jpg"
"NowPlaying FIGHT BACK - KUSH KUSH - ListenLive: https://t.co/dvwsOK3oFU",FALSE,0,NA,2017-05-06 05:29:14,FALSE,NA,"860728137574998017",NA,"<a href=""http://sam-song.info"" rel=""nofollow"">SAM Broadcaster Song Info</a>","thevibept",0,FALSE,FALSE,NA,NA,"Portugal","en","http://pbs.twimg.com/profile_images/832318250914549760/6AjVunX8_normal.jpg"
"Smh I liked the Miley Cyrus that smoked that dank kush rip",FALSE,2,NA,2017-05-06 05:26:15,FALSE,NA,"860727388329525248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_ddlala",0,FALSE,FALSE,NA,NA,"socal","en","http://pbs.twimg.com/profile_images/849161589290745856/ofhkySjJ_normal.jpg"
"Alotta des hoes starting to look sick",FALSE,1,NA,2017-05-06 05:26:14,FALSE,NA,"860727382432468993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kush_Clouds",1,FALSE,FALSE,NA,NA,"Up The Way 216 Land of the Hea","en","http://pbs.twimg.com/profile_images/855620279707611136/lrG4K7LT_normal.jpg"
"I've been blowing of kush feel a lil sedated",FALSE,0,NA,2017-05-06 05:25:51,FALSE,NA,"860727287297089537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FknSanSan",0,FALSE,FALSE,NA,NA,"compton. ","en","http://pbs.twimg.com/profile_images/858970080578752513/8fr-hZD8_normal.jpg"
"@SHlSHIDO more kush",FALSE,1,"SHlSHIDO",2017-05-06 05:22:03,FALSE,"860725131177451520","860726331419500544","810413455572398080","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JlNZOUENEMY",0,FALSE,FALSE,NA,NA,"icon by @KTPN","en","http://pbs.twimg.com/profile_images/859539296281350144/gRiNMdQO_normal.jpg"
"We had a pit bull named Reggie, and another one named Kush. What about you?",FALSE,1,NA,2017-05-06 05:20:54,FALSE,NA,"860726041215737856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TypicalStoner3",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/846330520015458304/qhvtyOBl_normal.jpg"
