"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@MinesMentality you got this tlhemona. Fam <ed><U+00A0><U+00BD><ed><U+00B8><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>",FALSE,0,"MinesMentality",2017-04-22 06:12:13,FALSE,"855665363056513025","855665526139473920","2271057776","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kush_Chengeta",0,FALSE,FALSE,NA,NA
"Kush kush! Better late than never! #420 #Blazers",FALSE,0,NA,2017-04-22 06:11:50,FALSE,NA,"855665429435625472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aaron_MAC189",0,FALSE,FALSE,NA,NA
"@Kush_Chengeta Enhales deeply and exhales. I needed that",FALSE,0,"Kush_Chengeta",2017-04-22 06:11:34,FALSE,"855664329269678080","855665363056513025","2310673605","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MinesMentality",0,FALSE,FALSE,NA,NA
"Smoke kush too ease the pain",FALSE,0,NA,2017-04-22 06:09:12,FALSE,NA,"855664767775772673",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IM_WENNY",0,FALSE,FALSE,NA,NA
"@ShizaLove_Kush don't know you dt much but u r a cute innocent girl.. stay as u r ,,,",FALSE,0,"ShizaLove_Kush",2017-04-22 06:08:18,FALSE,NA,"855664541304336390","2592507978","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cricketfreak23",0,FALSE,FALSE,NA,NA
"Shawty got a kush habit and I ain't supportin it",FALSE,0,NA,2017-04-22 06:07:32,FALSE,NA,"855664346214658048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kylarenee_muahh",0,FALSE,FALSE,NA,NA
"@MinesMentality calm down <ed><U+00A0><U+00BD><ed><U+00B8><U+008C> breath. You got this.",FALSE,0,"MinesMentality",2017-04-22 06:07:28,FALSE,"855661877271162881","855664329269678080","2271057776","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kush_Chengeta",0,FALSE,FALSE,NA,NA
"@parth_utters Tagged u and Kush twice ! Have started a book on it.. One of the most sensational and intriguing scan… https://t.co/0AwbWUlydo",FALSE,0,"parth_utters",2017-04-22 06:06:53,TRUE,"855663895435812864","855664185027448832","51501911","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","navneet_mundhra",0,FALSE,FALSE,NA,NA
"@iamthekartel - Love Everything (So What) #np",FALSE,0,"iamthekartel",2017-04-22 06:06:50,FALSE,NA,"855664169705721856","101872974","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I_am_kush",0,FALSE,FALSE,NA,NA
"@KellyTladi yes i was <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> w/no shame. Gape i couldn't help it <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> i hate you guys",FALSE,0,"KellyTladi",2017-04-22 06:06:32,FALSE,"855546775335292932","855664095541985280","4764386836","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kush_Chengeta",0,FALSE,FALSE,NA,NA
"Y'all tripping over rap beef
Just turn that boy career into a kush pack
That's how you do it
That's how you do it
That's how you do it",FALSE,1,NA,2017-04-22 06:06:04,FALSE,NA,"855663976448917504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BlackSheepAvery",0,FALSE,FALSE,NA,NA
"best part about being broke, is finding ways to save money. ejuice cost is like $6 per 30ml. Kush cost is now $220 - $240 per 2oz KUSH !! :D",FALSE,0,NA,2017-04-22 06:05:49,FALSE,NA,"855663913505042432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GrahamMatt",0,FALSE,FALSE,NA,NA
"@leprechxun to dip",FALSE,0,"leprechxun",2017-04-22 06:05:44,FALSE,"855654384054751233","855663894848831488","581073092","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kush_Chengeta",0,FALSE,FALSE,NA,NA
"@Rajkumar1964Raj @pooja3goswami @iamsrk Why your Hindi actress Kareena Kapoor Become Khan ? And birth a Temoor lol… https://t.co/34Jhh7G9QD",FALSE,0,"Rajkumar1964Raj",2017-04-22 06:04:46,TRUE,"855433517211070464","855663650132160512","1593559934","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jatin_armaan",0,FALSE,FALSE,NA,NA
"Ask around kush ka gjujt me pistole ne gilan i get it poppin",FALSE,0,NA,2017-04-22 06:03:43,FALSE,NA,"855663387342061568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","va7drin",0,FALSE,FALSE,NA,NA
"Damn why do everyone wants me to get an iPhone for like damn I gotta better shit to buy with my money aka weed<ed><U+00A0><U+00BC><ed><U+00BD><U+0083>we blow oh kush on this side<ed><U+00A0><U+00BD><ed><U+00B8><U+008F>",FALSE,0,NA,2017-04-22 06:03:17,FALSE,NA,"855663277329788931",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KingDrayden",0,FALSE,FALSE,NA,NA
"Damn medicinal nugs didnt impress me at all. I need help. Wheres the unreal kush at",FALSE,0,NA,2017-04-22 06:02:46,FALSE,NA,"855663149235810307",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lilbenc",0,FALSE,FALSE,NA,NA
"im about to have the best sleep of my life(kush coma)",FALSE,0,NA,2017-04-22 06:01:15,FALSE,NA,"855662766014648325",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brandsmariaa",0,FALSE,FALSE,NA,NA
"My eyes are so red I look like I just smoked a whole pound of kush",FALSE,0,NA,2017-04-22 06:00:39,FALSE,NA,"855662615313264640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itskaywaa",0,FALSE,FALSE,NA,NA
"i cant even sleep ...",FALSE,0,NA,2017-04-22 05:59:22,FALSE,NA,"855662290737262592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AGirlNamed_KUSH",0,FALSE,FALSE,NA,NA
"My grandma just woke up from an 8 hour kush coma",FALSE,0,NA,2017-04-22 05:59:14,FALSE,NA,"855662257388216320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raulfael",0,FALSE,FALSE,NA,NA
"gonna go with @CropKingSeed Crown Royale and Bubba Kush for the 'final four' - willing to test any genetics you need feedback on as well.",FALSE,0,NA,2017-04-22 05:58:01,FALSE,NA,"855661953095618560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ElevatedBD",0,FALSE,FALSE,NA,NA
"@Mavado_Gully - Fresh Cash 
Money Mix Riddim
 <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
still a count old money",FALSE,0,"Mavado_Gully",2017-04-22 05:55:59,FALSE,NA,"855661438857248769","90939188","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I_am_kush",0,FALSE,FALSE,NA,NA
"Let's give this ""Khalifa Kush"" a try.",FALSE,0,NA,2017-04-22 05:54:06,FALSE,NA,"855660968210124800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nicolle_Callier",0,FALSE,FALSE,NA,NA
