"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@LaurenJauregui Marijuana helps that I've heard",FALSE,0,"LaurenJauregui",2017-04-26 19:38:47,FALSE,"857317692054806528","857318058393776134","363972381","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","setofemptybones",0,FALSE,FALSE,NA,NA
"Oh Lamar, Hail Mary and marijuana, times is hard",FALSE,0,NA,2017-04-26 19:38:26,FALSE,NA,"857317968304193536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jacktsotelo",0,FALSE,FALSE,NA,NA
"Mayor Bowman would like federal marijuana legalization process to ""run its course"" Work would be ""premature"" at this point.. #wpgpoli",FALSE,0,"MetroBraeden",2017-04-26 19:38:21,FALSE,"857317579739848704","857317947072794624","96500405","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MetroBraeden",0,FALSE,FALSE,NA,NA
"‘You’re privileged’: Mulcair blasts Justin Trudeau for ‘hypocrisy’ on marijuana possession charges https://t.co/jmCApJxJ9K",FALSE,0,NA,2017-04-26 19:38:09,FALSE,NA,"857317898150232064",NA,"<a href=""http://daggamagazine.com"" rel=""nofollow"">Dagga Magazine</a>","DaggaMagazine",0,FALSE,FALSE,NA,NA
"@realDonaldTrump  make this country rich again, legalize marijuana and tax it. End the stigma here and embrace this billion dollar industry",FALSE,0,"realDonaldTrump",2017-04-26 19:38:07,FALSE,NA,"857317889447084032","25073877","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Goooch510",0,FALSE,FALSE,NA,NA
"Aaron Hernandez autopsy reveals synthetic marijuana ‘K2’ https://t.co/edVC35ri3e",FALSE,0,NA,2017-04-26 19:38:04,FALSE,NA,"857317876276973568",NA,"<a href=""http://daggamagazine.com"" rel=""nofollow"">Dagga Magazine</a>","DaggaMagazine",0,FALSE,FALSE,NA,NA
"Medical Marijuana is Dying in Oregon. That’s No Way To Treat Our Pioneers. https://t.co/YTjJeQWiT6",FALSE,0,NA,2017-04-26 19:38:00,FALSE,NA,"857317859948613632",NA,"<a href=""http://daggamagazine.com"" rel=""nofollow"">Dagga Magazine</a>","DaggaMagazine",0,FALSE,FALSE,NA,NA
"Marijuana summit planned in Beloit https://t.co/XVlIRyF3sY",FALSE,0,NA,2017-04-26 19:38:00,FALSE,NA,"857317859948494848",NA,"<a href=""http://daggamagazine.com"" rel=""nofollow"">Dagga Magazine</a>","DaggaMagazine",0,FALSE,FALSE,NA,NA
"@LaurenJauregui Like Marijuana weed?? Are you smoking??",FALSE,2,"LaurenJauregui",2017-04-26 19:37:59,FALSE,"857317692054806528","857317853418184712","363972381","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jamairathequeen",0,FALSE,FALSE,NA,NA
"Pot use, abuse more likely in states with medical marijuana laws, study shows https://t.co/5YvAUvcNzD",FALSE,0,NA,2017-04-26 19:37:58,FALSE,NA,"857317852247859200",NA,"<a href=""http://daggamagazine.com"" rel=""nofollow"">Dagga Magazine</a>","DaggaMagazine",0,FALSE,FALSE,NA,NA
"$UBQU setting up to explode tomorrow. Stocks on watch: $KSHB $TWMJF  $CGRW  #marijuana",FALSE,0,NA,2017-04-26 19:37:19,FALSE,NA,"857317686904270849",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GetRichStockpic",0,FALSE,FALSE,NA,NA
