"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@CallofDuty @DeceiT_Kush Y u retweet this kush",FALSE,0,"CallofDuty",2017-04-23 07:45:01,FALSE,"856039354472550400","856051266853584896","290097288","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tonypozo1",0,FALSE,FALSE,NA,NA
"@GunBrothersYT I got bags of kush",FALSE,1,"GunBrothersYT",2017-04-23 07:44:34,FALSE,"856050043412938754","856051155901845504","1898900678","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Olumide301",0,FALSE,FALSE,NA,NA
"Kush on Bionicle at this hour @therealdjcmac",FALSE,0,NA,2017-04-23 07:42:10,FALSE,NA,"856050549443227649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jackson_darwish",0,FALSE,FALSE,NA,NA
", MoneyBagg | Doing To Much My Shit I  Play It Out <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>",FALSE,0,NA,2017-04-23 07:41:49,FALSE,NA,"856050463241891840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kush_khalifaaa",0,FALSE,FALSE,NA,NA
"#Nowplaying: M3RK - Kush Clouds on
#GAeRadio.com - Where #IndependentMusic IS pop culture. https://t.co/Al1rm2PAbJ",FALSE,0,NA,2017-04-23 07:40:24,FALSE,NA,"856050104356229120",NA,"<a href=""https://radio.co"" rel=""nofollow"">Radio.co now playing</a>","GAeRadio",1,FALSE,FALSE,NA,NA
"I live for powerful lyricism. It doesn't matter how the song makes me feel, as long as it make me feel something. I love that shit",FALSE,0,NA,2017-04-23 07:40:05,FALSE,NA,"856050026375786496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kush_porter420",0,FALSE,FALSE,NA,NA
"Using my good looks and charm i will gain the trust of an orangutan to have it become my personal kush consultant &amp; legal guardian.",FALSE,0,NA,2017-04-23 07:37:33,FALSE,NA,"856049389499961344",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","pVxlVT7IAm6x2RO",0,FALSE,FALSE,NA,NA
", I Just Want Some Bomb Ass Head <ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><U+200D><U+2640><U+FE0F>",FALSE,0,NA,2017-04-23 07:37:17,FALSE,NA,"856049320738639872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kush_khalifaaa",0,FALSE,FALSE,NA,NA
", Why I Put My Salmon Alfredo In The Fridge <ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><U+200D><U+2640><U+FE0F> I Want It Now <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>",FALSE,0,NA,2017-04-23 07:36:06,FALSE,NA,"856049021890289666",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kush_khalifaaa",0,FALSE,FALSE,NA,NA
"I stand in the mirror and look at myself and I don't make a sound but my eyes scream out help and I start to struggle to hold myself back",FALSE,0,NA,2017-04-23 07:35:54,FALSE,NA,"856048971395080192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kush_porter420",0,FALSE,FALSE,NA,NA
